"date","date.mean","holiday","new_thanks","high.temp","low.temp","humidity","rain","temp","wind"
"2017-01-28",0.679907596785975,1,1,5.8,-3.3,48.125,1,1.65,1.475
"2017-01-29",0.486171407731583,1,1,4.1,-3.2,79.375,1,0.5625,4.90416666666667
"2017-01-30",0.345479941648432,0,1,-1.6,-8.2,61.3333333333333,0,-5.025,3.8
"2017-01-31",0.30527299270073,0,0,1,-5.3,56.6666666666667,0,-2.37083333333333,2.28333333333333
"2017-02-01",0.306576221735959,0,0,2,-7.1,49.75,0,-2.525,5.3875
"2017-02-02",0.32825,0,0,5.4,-3.6,68.9583333333333,0,0.0375,2.825
"2017-02-03",0.320767883211679,0,0,6.9,-3.6,79.4166666666667,0,0.891666666666667,1.3875
"2017-02-04",0.321586383601757,1,0,7,0.7,67.5416666666667,0,3.3375,1.025
"2017-02-05",0.318316752011704,1,0,4,-1.9,68.9166666666667,1,1.5375,5.81666666666667
"2017-02-06",0.301664483260553,0,0,2,-4.2,54.7916666666667,0,-1.00833333333333,5.26666666666667
"2017-02-07",0.297338427947598,0,0,3.3,-5,58.2916666666667,0,-1.14166666666667,2.74166666666667
"2017-02-08",0.302898835516739,0,0,2.2,-3.9,54.5,0,-0.725,5.10833333333333
"2017-02-09",0.296943107221007,0,0,-1.6,-5.9,46.1666666666667,0,-3.575,6.42916666666667
"2017-02-10",0.308825420014609,0,0,-2.8,-5.6,47.1666666666667,0,-4.18333333333333,5.72916666666667
"2017-02-11",0.345033625730994,1,0,0,-6.9,56.7083333333333,0,-2.925,4.775
"2017-02-12",0.358178102189781,1,0,4.4,-6,66,0,-1.68333333333333,2.75
"2017-02-13",0.321989043097151,0,0,4.5,-3.9,71.2916666666667,0,0.433333333333333,2.51666666666667
"2017-02-14",0.321205689277899,0,0,5.9,-4.4,61.875,0,-0.158333333333333,1.97083333333333
"2017-02-15",0.312503277494537,0,0,6.8,-0.3,66.5416666666667,0,2.50833333333333,2.83333333333333
"2017-02-16",0.327141709276844,0,0,11.5,0.5,75.625,1,7.81666666666667,5.45833333333333
"2017-02-17",0.306422432629279,0,0,2.6,-6.4,54.5416666666667,0,-1.75,5.2125
"2017-02-18",0.331605109489051,1,0,3,-3.9,60.9583333333333,0,-1.075,3.0875
"2017-02-19",0.318458394160584,1,0,8.4,-1,69.7083333333333,1,5.2125,6.4625
"2017-02-20",0.277606413994169,0,0,-0.6,-6,51.7916666666667,0,-2.96666666666667,5.52916666666667
"2017-02-21",0.267431386861314,0,0,5.8,-2.2,56,0,1.57083333333333,1.32083333333333
"2017-02-22",0.261301755669349,0,0,3.9,-0.9,79.4583333333333,1,1.29166666666667,5.5
"2017-02-23",0.285290816326531,0,0,2.1,-6,53.9166666666667,0,-1.55833333333333,5.97916666666667
"2017-02-24",0.295830656934307,0,0,4.5,-3.8,65.1666666666667,0,0.170833333333333,2.89166666666667
"2017-02-25",0.317253284671533,1,0,8.2,-1.3,71.2083333333333,0,2.8125,3.22916666666667
"2017-02-26",0.346288742690058,1,0,8.6,-2.6,58.0833333333333,0,3.1,2.75833333333333
"2017-02-27",0.305271334792123,0,0,9.5,-3.1,52.4583333333333,0,2.47916666666667,1.71666666666667
"2017-02-28",0.303720029239766,0,0,11.3,2,52.2916666666667,0,5.725,3.07083333333333
"2017-03-01",0.29936853605244,1,0,9.1,-0.8,61.5833333333333,1,4.71666666666667,3.39166666666667
"2017-03-02",0.27791234477721,0,0,3.3,-4,64.625,0,-0.204166666666667,3.73333333333333
"2017-03-03",0.275083941605839,0,0,8.5,-1.2,70.2083333333333,0,3.4,3.47083333333333
"2017-03-04",0.329428780131483,1,0,12,-0.5,69.375,0,4.6,1.7625
"2017-03-05",0.335728862973761,1,0,11.5,-1.9,62.9583333333333,0,4.9125,3.9625
"2017-03-06",0.28550036416606,0,0,4.6,-2.8,52.3333333333333,1,0.5,4.75
"2017-03-07",0.264390670553936,0,0,1,-4,51.9166666666667,0,-1.02083333333333,5.17916666666667
"2017-03-08",0.267449307075128,0,0,6.1,-3.2,58,0,1.69583333333333,4.35416666666667
"2017-03-09",0.27572388604821,0,0,10.5,-2.8,62.5416666666667,0,3.99166666666667,4.0375
"2017-03-10",0.302229136163982,0,0,11.9,-0.7,51.8333333333333,0,4.81666666666667,2.02083333333333
"2017-03-11",0.342629114850037,1,0,15.2,2.1,52.7083333333333,0,7.6,1.87916666666667
"2017-03-12",0.369465542521994,1,0,15.7,1,61.6666666666667,0,7.86666666666667,3.4625
"2017-03-13",0.305986121256392,0,0,8.8,0,53.1666666666667,0,4.99166666666667,3.62916666666667
"2017-03-14",0.302175182481752,0,0,9,0.6,48.25,0,4.67083333333333,4.94583333333333
"2017-03-15",0.295932797662527,0,0,11,-3,55.0833333333333,0,3.29583333333333,2.05833333333333
"2017-03-16",0.298622076023392,0,0,12.1,-1.9,57.4166666666667,0,5.09166666666667,2.25416666666667
"2017-03-17",0.284152158010241,0,0,15.1,3.1,46.5416666666667,0,7.7875,1.5875
"2017-03-18",0.365710914454277,1,0,17.4,0.7,45.2916666666667,0,7.91250004166667,1.92916666666667
"2017-03-19",0.364522091310751,1,0,18,2.8,44.3333333333333,0,10.2041666666667,2.30833333333333
"2017-03-20",0.289333579335793,0,0,13.7,2.6,54.9166666666667,0,8.04583333333333,1.92083333333333
"2017-03-21",0.285900293255132,0,0,10.4,-0.2,54.9166666666667,0,5.15416666666667,4.05833333333333
"2017-03-22",0.309552380952381,0,0,12.6,3.2,44,0,7.83333333333333,2.2
"2017-03-23",0.301151648351648,0,0,13.5,1.1,50.2916666666667,0,6.79166666666667,2.5625
"2017-03-24",0.322899707174231,0,0,13.2,2.8,53.2916666666667,0,7.4875,1.39166666666667
"2017-03-25",0.371114369501466,1,0,12.2,0.1,51.9583333333333,0,5.79166666666667,1.70833333333333
"2017-03-26",0.378146886446886,1,0,10.5,3.1,69.5,0,6.09166666666667,2.24166666666667
"2017-03-27",0.296111111111111,0,0,11.9,2.2,69,0,6.07083333333333,2.54166666666667
"2017-03-28",0.297643956043956,0,0,11.5,2.8,65.7916666666667,0,7.45833333333333,2.14583333333333
"2017-03-29",0.323082723279649,0,0,13.7,1.2,60.7916666666667,0,6.92916666666667,2.29583333333333
"2017-03-30",0.326099779897285,0,0,16.5,7.6,55.2083333333333,0,10.8541666666667,2.59583333333333
"2017-03-31",0.302498535871157,0,0,13.6,2.1,70.3333333333333,0,8.26666666666667,2.39583333333333
"2017-04-01",0.396220921726408,1,0,13.7,1.1,59.75,0,7.55833333333333,2.35
"2017-04-02",0.430214494875549,1,0,16.1,2.4,61.7916666666667,0,8.19583333333333,2.675
"2017-04-03",0.326452084857352,0,0,15.3,7.1,59.2083333333333,0,10.6958333333333,3.28333333333333
"2017-04-04",0.313932551319648,0,0,19.299999,9.5,40.5416666666667,1,13.8875,2.63333333333333
"2017-04-05",0.285075182481752,0,0,14.7,9,90.2916666666667,1,11.5458333333333,4.95
"2017-04-06",0.293825128581925,0,0,12.6,8.2,83.5416666666667,0,9.8,1.95
"2017-04-07",0.31799197080292,0,0,18.799999,5.4,76.0416666666667,0,11.3625000416667,2.37916666666667
"2017-04-08",0.367104029304029,1,0,16.6,7.9,74.4166666666667,0,10.9291666666667,2.47083333333333
"2017-04-09",0.379900584795322,1,0,22.4,12.3,40.3333333333333,0,16.2249999166667,3.525
"2017-04-10",0.312694057226706,0,0,22.4,9.5,38,0,15.21666675,3.10833333333333
"2017-04-11",0.308540263543192,0,0,17.700001,6.9,34.6666666666667,0,12.608333375,4.29166666666667
"2017-04-12",0.324521897810219,0,0,16.799999,4.3,45.8333333333333,0,10.154166625,3.17916666666667
"2017-04-13",0.308602479941648,0,0,16.6,10.8,51.7916666666667,0,13.2458333333333,6.74166666666667
"2017-04-14",0.306975929978118,0,0,17.4,9.8,74.2916666666667,1,12.6708333333333,5.65416666666667
"2017-04-15",0.401636695906433,1,0,21.799999,10.3,74.2083333333333,0,15.0541667083333,3.7375
"2017-04-16",0.411543398978848,1,0,25.799999,12.5,69.125,1,17.483333375,1.57916666666667
"2017-04-17",0.308418859649123,0,0,16.1,8.3,84.5,1,11.95,2.87916666666667
"2017-04-18",0.320422011661808,0,0,14.8,4.5,70.25,1,10.4125,4.875
"2017-04-19",0.308876099706745,0,0,18.4,9.3,52.75,0,12.6416666666667,1.79166666666667
"2017-04-20",0.287897209985316,0,0,14.9,4.5,69,1,10.0916666666667,1.54166666666667
"2017-04-21",0.324252014652015,0,0,19.5,6.8,64.6666666666667,0,12.7875000416667,2.44166666666667
"2017-04-22",0.38449524506218,1,0,21.4,5.1,54.8333333333333,0,13.283333125,1.95416666666667
"2017-04-23",0.410703296703297,1,0,19.5,7.3,48.6666666666667,0,13.1291667083333,3.62083333333333
"2017-04-24",0.311707906295754,0,0,20.299999,12,55.625,0,15.6458333333333,4.17083333333333
"2017-04-25",0.315435803374908,0,0,19.9,10.9,67.375,0,14.5541665,2.65416666666667
"2017-04-26",0.336972893772894,0,0,20.1,7.3,49,0,12.9875000833333,3.49583333333333
"2017-04-27",0.33805347985348,0,0,20,7.4,60.7083333333333,0,13.2958333333333,4.225
"2017-04-28",0.362511704462326,0,0,19.4,8.1,72.625,0,13.1583333333333,3.60833333333333
"2017-04-29",0.430945827232797,1,0,22.200001,13,58.75,0,16.8833333333333,6.2375
"2017-04-30",0.481652747252747,1,0,22.799999,11.7,79.0833333333333,0,15.699999875,3.80416666666667
"2017-05-01",0.434801324503311,0,0,28.9,9.7,62.0833333333333,0,18.1500001666667,1.7
"2017-05-02",0.389944158706833,0,0,26.5,10.6,50.25,0,18.8958335833333,2.74166666666667
"2017-05-03",0.467875917767988,1,0,29.4,13.3,51.8333333333333,0,20.1666667916667,1.75833333333333
"2017-05-04",0.472479059515062,0,0,26.799999,15.5,58.8333333333333,0,20.654166875,2.09583333333333
"2017-05-05",0.598010279001468,1,0,28,7.7,56.3333333333333,0,18.1541665416667,3.59583333333333
"2017-05-06",0.581129032258065,1,0,19.799999,9.4,65.0416666666667,0,14.2749999583333,4.1125
"2017-05-07",0.511359501100514,1,0,24.299999,11,61.25,0,16.820833375,3.32083333333333
"2017-05-08",0.332363033873343,0,0,20.799999,11.6,57.0416666666667,1,16.3791664583333,2.97083333333333
"2017-05-09",0.326710719530103,1,0,21.299999,12.6,85.5,1,15.4124999583333,2.00833333333333
"2017-05-10",0.325367227505486,0,0,19.9,13.4,77.9166666666667,0,16.0916667916667,2.8125
"2017-05-11",0.332391623806025,0,0,23.700001,16.299999,78.9166666666667,0,19.3291665833333,4.52916666666667
"2017-05-12",0.330433807030666,0,0,20.200001,12.4,85.5416666666667,0,16.320833375,3.08333333333333
"2017-05-13",0.399828445747801,1,0,21.299999,8.8,81.5833333333333,1,14.3708333333333,4.71666666666667
"2017-05-14",0.403182551319648,1,0,19.200001,10,59.75,0,15.1500000833333,4.82916666666667
"2017-05-15",0.345559970566593,0,0,18.6,10.9,77.0416666666667,0,14.441666625,2.85833333333333
"2017-05-16",0.338061119293078,0,0,21.799999,9.8,76.4166666666667,0,15.041666625,1.8875
"2017-05-17",0.356465466568699,0,0,25,12.9,61.0416666666667,0,18.1750000416667,1.90833333333333
"2017-05-18",0.391965643274854,0,0,24.700001,13.6,65,0,18.9875000416667,3.46666666666667
"2017-05-19",0.408266229029905,0,0,25.799999,12.9,56.5416666666667,0,19.308333375,2.60416666666667
"2017-05-20",0.457364835164835,1,0,27.5,13.4,52.8333333333333,0,20.42083325,1.95416666666667
"2017-05-21",0.488189604685212,1,0,27.799999,13.5,62.5416666666667,0,20.733333125,1.69166666666667
"2017-05-22",0.392342565597668,0,0,28.200001,15.1,60.2083333333333,0,21.1916668333333,1.6875
"2017-05-23",0.348811086797958,0,0,23.799999,16.5,81.125,1,19.941666625,2.02083333333333
"2017-05-24",0.336521580102414,0,0,24.1,11.7,75.25,0,18.5000002083333,2.3
"2017-05-25",0.352474674384949,0,0,24.1,11,55.0833333333333,0,16.8583333333333,4.15833333333333
"2017-05-26",0.365252707581227,0,0,21.299999,9.8,64.7916666666667,0,15.3833332916667,2.84583333333333
"2017-05-27",0.449820086705202,1,0,24.200001,13.3,55.5,0,18.5625000416667,2.82083333333333
"2017-05-28",0.448169075144509,1,0,23.9,16.299999,75.4166666666667,0,19.625,6.3
"2017-05-29",0.366916606236403,0,0,25.799999,15.9,75.4583333333333,0,20.4374998333333,4.08333333333333
"2017-05-30",0.367807664497469,0,0,28.1,15.1,66.0416666666667,0,20.92916675,2.98333333333333
"2017-05-31",0.358745480838756,0,0,25.700001,19.1,85.5416666666667,1,22.07500025,1.66666666666667
"2017-06-01",0.361195950831526,0,0,23.700001,14.1,67.9166666666667,0,18.9500000416667,3.4375
"2017-06-02",0.390147505422993,0,0,23.6,13.7,55.6666666666667,1,18.5208334166667,2.5625
"2017-06-03",0.483011577424023,1,0,24,13,62,0,18.304166625,2.6875
"2017-06-04",0.509236613603473,1,0,28.299999,12.9,51.9166666666667,0,20.8208334166667,1.54583333333333
"2017-06-05",0.40620984081042,0,0,30.9,18,49.9166666666667,0,23.2124999583333,1.80416666666667
"2017-06-06",0.369108538350217,1,0,23.4,15.1,84.125,1,18.3208334166667,3.95
"2017-06-07",0.325931209268646,0,0,20.299999,15.5,89.8333333333333,0,16.9833332083333,3.7125
"2017-06-08",0.345900436046512,0,0,23.299999,16.700001,84.5416666666667,0,19.6041666666667,5.02083333333333
"2017-06-09",0.345395348837209,0,0,25,17.200001,83.8333333333333,0,20.874999875,4.49166666666667
"2017-06-10",0.428323422770123,1,0,26.4,14.8,46.25,0,21.0791665833333,3.19166666666667
"2017-06-11",0.482373730043541,1,0,30,15.6,48.5416666666667,0,22.1500000833333,2.02916666666667
"2017-06-12",0.376457848837209,0,0,26.799999,16,64.125,1,20.795833375,1.65
"2017-06-13",0.368470246734398,0,0,26.299999,15.5,73.4583333333333,0,20.112500125,1.8625
"2017-06-14",0.385935413642961,0,0,26.700001,16.799999,76.5833333333333,0,20.949999875,2.475
"2017-06-15",0.392134880348078,0,0,26.9,19.299999,79.6666666666667,0,22.2249999583333,4.00416666666667
"2017-06-16",0.400327536231884,0,0,28.299999,18.200001,71.7083333333333,0,22.7375000833333,3.8375
"2017-06-17",0.489947101449275,1,0,28.4,17.1,68.8333333333333,0,22.4291666666667,2.40416666666667
"2017-06-18",0.533659898477157,1,0,31.4,17.700001,71.9166666666667,0,23.0375001666667,1.8625
"2017-06-19",0.394509420289855,0,0,30.799999,18.5,60.7916666666667,0,23.9166668333333,1.675
"2017-06-20",0.362081454545455,0,0,31.299999,19.700001,59.2083333333333,0,24.1375000416667,2.27083333333333
"2017-06-21",0.367761801016703,0,0,28.299999,19.700001,76.7916666666667,0,23.3874999583333,1.87083333333333
"2017-06-22",0.378829215116279,0,0,31.299999,18.1,75.625,0,23.608333375,1.87083333333333
"2017-06-23",0.384461147421932,0,0,32.799999,19.6,67.375,0,24.66666675,1.88333333333333
"2017-06-24",0.430774617067834,1,0,26.6,17.700001,74.5833333333333,1,22.1666667916667,1.30833333333333
"2017-06-25",0.471704,1,0,30.4,18.5,72.875,1,24.0666665833333,1.82916666666667
"2017-06-26",0.362248,0,0,30,19.9,79.4166666666667,1,23.9416665416667,1.50416666666667
"2017-06-27",0.32618828762046,0,0,28.9,21.4,82.125,0,24.1166665,2.19583333333333
